Type,Seconds,MegaBytes
delta_send,1472112306,9.46044921875e-4
delta_send,1472112307,9.46044921875e-4
delta_send,1472112308,0.00189208984375
delta_send,1472112309,0.00189208984375
delta_send,1472112310,0.00189208984375
delta_send,1472112311,0.002838134765625
delta_send,1472112312,2.76788330078125
delta_send,1472112313,2.768280029296875
delta_send,1472112314,2.768829345703125
delta_send,1472112315,2.768829345703125
delta_send,1472112316,2.768829345703125
delta_send,1472112317,2.768829345703125
delta_send,1472112318,2.769256591796875
delta_send,1472112319,2.769439697265625
delta_send,1472112320,2.769439697265625
delta_send,1472112321,2.770050048828125
delta_send,1472112322,2.771209716796875
delta_send,1472112323,5.464637756347656
delta_send,1472112324,5.465126037597656
delta_send,1472112325,5.465126037597656
delta_send,1472112326,5.465736389160156
delta_send,1472112327,5.465736389160156
delta_send,1472112328,5.465980529785156
delta_send,1472112329,5.466346740722656
delta_send,1472112330,5.466346740722656
delta_send,1472112331,5.466346740722656
delta_send,1472112332,5.466957092285156
delta_send,1472112333,8.394744873046875
delta_send,1472112334,8.395660400390625
delta_send,1472112335,8.395660400390625
delta_send,1472112336,8.395660400390625
delta_send,1472112337,8.396270751953125
delta_send,1472112338,8.396392822265625
delta_send,1472112339,8.396881103515625
delta_send,1472112340,8.396881103515625
delta_send,1472112341,8.396881103515625
delta_send,1472112342,8.397491455078125
delta_send,1472112343,11.410140991210938
delta_send,1472112344,11.411239624023438
delta_send,1472112345,11.411239624023438
delta_send,1472112346,11.411239624023438
delta_send,1472112347,11.411949157714844
delta_send,1472112348,11.411949157714844
delta_send,1472112349,11.412559509277344
delta_send,1472112350,11.412559509277344
delta_send,1472112351,11.412559509277344
delta_send,1472112352,11.41314697265625
delta_send,1472112353,14.670951843261719
delta_send,1472112354,14.671707153320313
convergence,1472112355,0.0
delta_send,1472112355,14.672378540039063
delta_send,1472112356,14.672378540039063
delta_send,1472112357,14.673194885253906
delta_send,1472112358,14.673194885253906
delta_send,1472112359,14.673194885253906
delta_send,1472112360,14.673561096191406
delta_send,1472112361,14.673805236816406
delta_send,1472112362,14.674354553222656
delta_send,1472112363,17.77532958984375
delta_send,1472112364,17.776412963867188
delta_send,1472112365,17.776840209960938
delta_send,1472112366,17.776840209960938
delta_send,1472112367,17.77759552001953
delta_send,1472112368,17.77759552001953
delta_send,1472112369,17.77759552001953
delta_send,1472112370,17.77759552001953
delta_send,1472112371,17.778350830078125
delta_send,1472112372,17.778350830078125
delta_send,1472112373,20.94591522216797
delta_send,1472112374,20.946998596191406
delta_send,1472112375,20.947425842285156
delta_send,1472112376,20.947425842285156
delta_send,1472112377,20.94818115234375
delta_send,1472112378,20.94818115234375
delta_send,1472112379,20.94890594482422
delta_send,1472112380,20.94927215576172
delta_send,1472112381,20.94927215576172
delta_send,1472112382,20.94927215576172
delta_send,1472112383,24.173919677734375
